Airport,City,IATA,ICAO,Country,Lat,Long,Alt
Dundee,Dundee,DND,EGPN,United Kingdom,56.452499,-3.025833,17
Dnipropetrovsk Intl,Dnepropetrovsk,DNK,UKDD,Ukraine,48.357222,35.100556,481
Pleurtuit,Dinard,DNR,LFRD,France,48.587683,-2.079958,219
Cardak,Denizli,DNZ,LTAY,Turkey,37.785567,29.701297,2795
Donetsk Intl,Donetsk,DOK,UKCC,Ukraine,48.073611,37.739722,791
St Gatien,Deauville,DOL,LFRG,France,49.365339,0.154306,479
Dresden,Dresden,DRS,EDDC,Germany,51.132767,13.767161,755
Robin Hood Doncaster Sheffield Airport,"Doncaster, Sheffield",DSA,EGCN,United Kingdom,53.474722,-1.004444,55
Dortmund,Dortmund,DTM,EDLW,Germany,51.518314,7.612242,425
Dublin,Dublin,DUB,EIDW,Ireland,53.421333,-6.270075,242
Dusseldorf,Duesseldorf,DUS,EDDL,Germany,51.289453,6.766775,147
San Sebastian,San Sebastian,EAS,LESO,Spain,43.356519,-1.790611,15
Marina Di Campo,Marina Di Campo,EBA,LIRJ,Italy,42.760277,10.239445,31
Ebenhofen BF,Ebenhofen,EBE,EBEN,Germany,47.824,10.623,1200
Esbjerg,Esbjerg,EBJ,EKEB,Denmark,55.525942,8.553403,97
Boutheon,St-Etienne,EBU,LFMH,France,45.540554,4.296389,1325
Edinburgh,Edinburgh,EDI,EGPH,United Kingdom,55.95,-3.3725,135
Les Ajoncs,La Roche-sur-yon,EDM,LFRI,France,46.701944,-1.378625,299
Balikesir Korfez Airport,Balikesir Korfez,EDO,LTFD,Turkey,39.5546,27.0138,50
Kefallinia,Keffallinia,EFL,LGKF,Greece,38.120069,20.500481,59
Roumaniere,Bergerac,EGC,LFBE,France,44.825279,0.518611,171
Belgorod International Airport,Belgorod,EGO,UUOB,Russia,50.6438,36.5901,735
Eindhoven,Eindhoven,EIN,EHEH,Netherlands,51.450139,5.374528,74
Nottingham East Midlands,East Midlands,EMA,EGNX,United Kingdom,52.831111,-1.328056,306
Emden,Emden,EME,EDWE,Germany,53.391186,7.227408,2
Essey,Nancy,ENC,LFSN,France,48.692069,6.230458,751
Enontekio,Enontekio,ENF,EFET,Finland,68.362586,23.424322,1005
St Angelo,Enniskillen,ENK,EGAB,United Kingdom,54.398889,-7.651667,155
Twenthe,Enschede,ENS,EHTW,Netherlands,52.27,6.874167,114
